;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Manu;Evie;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;1;995;995;995;995;995;995;10.0;10.0;10.0;0.0
1;2;5;['Manu'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];14;3;990;985;985;985;985;985;15.0;5.0;15.0;
2;3;10;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];16;31;980;975;975;981;980;975;24.0;9.0;;
3;4;31;['SpongeBob'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu', 'Evie'];49;5;988;965;965;971;970;965;2.0;2.0;2.0;
4;5;62;['AggressiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];16;10;983;971;955;899;965;955;10.0;8.0;10.0;
5;6;124;['AggressiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];23;2;978;984;945;765;960;945;20.0;10.0;20.0;
6;7;248;['AggressiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];20;1;968;994;935;507;955;935;21.0;1.0;21.0;
7;8;496;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];32;3;963;984;925;33;950;925;31.0;10.0;31.0;
8;9;446;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;44;977;528;915;23;945;915;40.0;9.0;;
9;10;401;['PassiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu', 'Evie'];54;14;972;117;905;13;989;905;8.0;8.0;8.0;
10;11;117;['PassiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];37;15;962;27;895;8;984;895;18.0;10.0;19.0;1.0
11;12;31;['Manu'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu', 'Evie'];27;9;957;17;912;-2;943;885;1.0;1.0;1.0;0.0
12;13;30;['Manu'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];86;38;947;7;988;-2;908;875;3.0;2.0;3.0;
13;14;38;['SpongeBob'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];48;15;904;-3;978;-2;903;913;6.0;3.0;6.0;
14;15;15;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];24;14;884;-3;968;-2;898;927;12.0;6.0;12.0;
15;16;14;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;19;882;-3;958;-2;893;917;22.0;10.0;;
16;17;19;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Evie'];50;2;853;-3;948;-2;933;907;7.0;7.0;16.0;9.0
17;18;7;['Manu'];1;AlwaysLauncher;['AlwaysLauncher'];17;4;848;-3;955;-2;921;902;17.0;1.0;23.0;6.0
18;19;6;['Manu'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher'];20;4;838;-3;965;-2;910;897;31.0;8.0;31.0;
19;20;4;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];12;6;829;-3;955;-2;905;899;35.0;4.0;35.0;
20;21;6;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];33;6;818;-3;945;-2;928;889;4.0;4.0;4.0;
