;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Manu;Evie;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;4;995;995;995;995;995;995;1.0;1.0;2.0;1.0
1;2;5;['Manu'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];34;3;990;985;985;1019;985;990;8.0;6.0;8.0;
2;3;10;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];7;4;985;975;982;1004;980;980;8.0;0.0;8.0;
3;4;20;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];22;14;975;965;972;996;975;970;16.0;8.0;16.0;
4;5;40;['AggressiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];21;13;970;955;962;946;970;960;24.0;8.0;24.0;
5;6;80;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];37;0;960;945;952;893;965;950;28.0;4.0;28.0;
6;7;160;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];13;5;955;935;942;736;960;940;34.0;6.0;34.0;
7;8;320;['AggressiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];17;5;945;925;949;406;955;930;37.0;3.0;37.0;
8;9;406;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];36;19;940;915;939;26;950;925;42.0;5.0;;
9;10;365;['PassiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'Manu', 'Evie'];52;7;935;540;929;21;992;915;10.0;10.0;10.0;
10;11;328;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];26;5;930;228;919;11;987;905;10.0;0.0;10.0;
11;12;228;['PassiveLauncher'];1;Evie;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];40;2;920;-10;909;6;982;935;20.0;10.0;22.0;2.0
12;13;13;['Manu'];1;Evie;['AlwaysLauncher', 'AggressiveLauncher', 'Evie'];12;3;915;-10;899;-4;964;937;24.0;2.0;24.0;
13;14;3;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];13;1;907;-10;902;-4;959;927;31.0;7.0;31.0;
14;15;2;['Evie'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;5;897;-10;905;-4;954;915;32.0;1.0;32.0;
15;16;5;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Manu'];13;97;887;-10;895;-4;957;910;4.0;4.0;4.0;
16;17;97;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];105;7;885;-10;885;-4;952;900;14.0;10.0;19.0;5.0
17;18;7;['SpongeBob', 'Manu'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Evie'];26;11;868;-10;875;-4;961;890;7.0;7.0;7.0;
18;19;11;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];14;8;852;-10;879;-4;956;885;17.0;10.0;23.0;6.0
19;20;11;['Manu'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Evie'];22;55;842;-10;869;-4;957;875;1.0;1.0;1.0;
20;21;55;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];61;2;782;-10;859;-4;952;926;4.0;3.0;13.0;9.0
21;22;13;['Manu'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];10;13;772;-10;859;-4;934;916;20.0;7.0;;
22;23;13;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Manu'];27;16;776;-10;849;-4;924;911;3.0;3.0;3.0;
23;24;16;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];25;1;755;-10;839;-4;919;926;8.0;5.0;8.0;0.0
24;25;18;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];13;7;750;-10;829;-4;896;929;11.0;3.0;11.0;
