;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Manu;Evie;tech;tech_gain_passive;tech_at_join;tech_gain_bid
53;54;12;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];22;1;644;-10;769;-7;601;833;2.0;2.0;2.0;0.0
54;55;5;['Manu'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];8;22;634;-10;759;-7;591;831;7.0;5.0;7.0;
55;56;22;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];35;14;607;-10;749;-7;586;856;12.0;5.0;12.0;
56;57;14;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;3;603;-10;739;-7;581;846;21.0;9.0;22.0;1.0
57;58;10;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];76;6;598;-10;729;-7;566;912;28.0;6.0;28.0;
58;59;6;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];13;4;587;-10;719;-7;561;902;38.0;10.0;38.0;
59;60;4;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;7;593;-10;709;-7;556;892;47.0;9.0;;
60;61;7;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];16;11;581;-10;699;-7;546;898;6.0;6.0;6.0;
61;62;11;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];19;3;565;-10;708;-7;541;888;15.0;9.0;24.0;9.0
62;63;10;['Manu'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];14;5;569;-10;698;-7;526;878;28.0;4.0;35.0;7.0
63;64;9;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];59;5;564;-10;688;-7;507;927;10.0;10.0;16.0;6.0
64;65;8;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];20;16;559;-10;678;-7;494;937;18.0;2.0;18.0;
65;66;16;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Evie'];38;1;533;-10;668;-7;484;965;10.0;10.0;11.0;1.0
66;67;10;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];8;43;528;-10;658;-7;469;963;19.0;8.0;;
67;68;43;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Evie'];54;8;475;-10;648;-7;513;953;9.0;9.0;18.0;9.0
68;69;9;['Manu'];1;Manu;['AlwaysLauncher', 'Manu'];23;6;470;-10;638;-7;517;948;6.0;6.0;8.0;2.0
