;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Manu;Evie;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;23;995;995;995;995;995;995;2.0;2.0;2.0;
1;2;23;['SpongeBob'];1;Evie;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];32;3;962;985;985;985;990;1017;4.0;2.0;4.0;
2;3;46;['AggressiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];15;7;957;990;975;929;985;1007;8.0;4.0;8.0;
3;4;92;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];25;40;952;980;965;852;980;997;10.0;2.0;10.0;
4;5;184;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];50;12;947;970;1005;658;975;987;12.0;2.0;12.0;
5;6;368;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];20;11;937;960;995;300;970;977;21.0;9.0;21.0;
6;7;331;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];32;3;932;651;985;290;965;967;31.0;10.0;31.0;
7;8;298;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];38;9;960;343;975;280;960;957;35.0;4.0;35.0;
8;9;280;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu', 'Evie'];19;26;955;333;984;-10;950;947;10.0;10.0;10.0;
9;10;252;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Manu', 'Evie'];42;8;950;71;974;-10;940;979;2.0;2.0;2.0;
10;11;71;['PassiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];27;13;940;17;964;-10;935;969;12.0;10.0;12.0;
11;12;17;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];28;1;935;18;954;-10;930;959;16.0;4.0;16.0;
12;13;15;['PassiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];15;1;925;8;944;-10;925;949;25.0;9.0;30.0;5.0
13;14;16;['Manu'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];13;37;920;11;934;-10;904;939;35.0;5.0;;
14;15;37;['SpongeBob'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Manu', 'Evie'];68;2;878;1;924;-10;894;997;6.0;6.0;10.0;4.0
15;16;18;['Manu'];1;Mission failure;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];11;1;868;-9;914;-10;871;987;19.0;9.0;19.0;
16;17;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];16;3;863;-9;904;-10;866;991;21.0;2.0;21.0;
17;18;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];14;18;864;-9;894;-10;861;981;25.0;4.0;;
18;19;18;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];30;7;841;-9;884;-10;851;1001;4.0;4.0;9.0;5.0
19;20;7;['SpongeBob', 'Manu'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];36;20;860;-9;874;-10;839;991;9.0;0.0;9.0;
20;21;20;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];30;12;835;-9;864;-10;834;981;18.0;9.0;18.0;
21;22;12;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];23;5;836;-9;854;-10;829;971;28.0;10.0;28.0;
22;23;5;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];15;2;826;-9;844;-10;819;976;8.0;8.0;10.0;2.0
23;24;4;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];12;8;821;-9;834;-10;810;978;16.0;6.0;16.0;
24;25;8;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];62;9;808;-9;886;-10;805;968;21.0;5.0;21.0;
25;26;9;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];38;8;827;-9;876;-10;800;958;30.0;9.0;;
