;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;4;995;995;995;995;995;995;995;995;9.0;9.0;9.0;
1;2;5;['Sample1'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];12;7;990;985;985;997;985;990;985;990;18.0;9.0;18.0;
2;3;10;['AggressiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];15;2;985;990;975;982;975;985;980;985;20.0;2.0;20.0;
3;4;20;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];15;12;980;980;965;952;980;980;975;980;20.0;0.0;20.0;
4;5;40;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];23;6;975;970;955;902;993;975;970;975;24.0;4.0;24.0;
5;6;80;['AggressiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];26;8;965;960;971;812;983;970;965;970;28.0;4.0;28.0;
6;7;160;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];17;7;960;950;961;659;973;965;960;965;33.0;5.0;33.0;
7;8;320;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];34;13;955;940;985;329;963;960;955;960;39.0;6.0;39.0;
8;9;329;['AggressiveLauncher'];1;Sample1;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample1'];39;17;945;930;975;-10;953;950;984;955;7.0;7.0;7.0;
9;10;296;['PassiveLauncher'];1;Sample2;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample2'];36;1;940;624;965;-10;943;945;979;981;12.0;5.0;12.0;
10;11;266;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];15;10;935;348;955;-10;948;940;974;976;21.0;9.0;21.0;
11;12;239;['PassiveLauncher'];1;Manu;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu'];24;1;925;99;945;-10;938;954;969;971;4.0;4.0;4.0;
12;13;99;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];10;5;920;-10;945;-10;928;949;964;966;8.0;4.0;8.0;
13;14;5;['SpongeBob'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];28;6;905;-10;935;-10;918;944;959;961;9.0;1.0;9.0;
14;15;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample2'];16;11;894;-10;941;-10;908;939;954;951;18.0;9.0;18.0;
15;16;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];29;2;902;-10;931;-10;898;934;944;946;24.0;6.0;24.0;
16;17;4;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];7;39;897;-10;928;-10;888;929;935;941;26.0;2.0;;
17;18;39;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];56;14;853;-10;918;-10;878;919;930;987;0.0;0.0;0.0;
18;19;14;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];17;25;834;-10;908;-10;885;914;925;982;5.0;5.0;5.0;
19;20;25;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];42;9;799;-10;898;-10;917;909;915;972;15.0;10.0;15.0;
20;21;13;['Sample2'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];19;3;794;-10;888;-10;907;918;910;954;8.0;8.0;8.0;
21;22;10;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;4;804;-10;878;-10;897;913;895;949;8.0;0.0;8.0;
22;23;4;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];29;6;795;-10;897;-10;887;908;890;944;9.0;1.0;9.0;
23;24;6;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;3;801;-10;887;-10;877;903;885;939;17.0;8.0;17.0;
24;25;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];18;4;793;-10;877;-10;885;898;880;934;17.0;0.0;17.0;
25;26;4;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;17;792;-10;867;-10;875;893;875;929;26.0;9.0;26.0;
26;27;17;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];43;0;770;-10;857;-10;865;888;865;962;32.0;6.0;32.0;
27;28;4;['Sample1', 'Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;1;773;-10;847;-10;855;883;856;953;32.0;0.0;32.0;
28;29;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];12;15;768;-10;849;-10;843;878;851;948;35.0;3.0;35.0;
29;30;15;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];38;2;748;-10;839;-10;833;906;846;943;10.0;10.0;10.0;
30;31;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];22;12;741;-10;851;-10;821;901;841;938;15.0;5.0;15.0;
31;32;12;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];26;59;719;-10;841;-10;811;896;857;933;23.0;8.0;;
32;33;59;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];69;9;655;-10;831;-10;801;955;852;923;0.0;0.0;0.0;
33;34;9;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];26;8;641;-10;847;-10;791;950;847;918;3.0;3.0;3.0;
34;35;8;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];17;3;640;-10;837;-10;781;945;842;913;9.0;6.0;9.0;
35;36;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];19;14;632;-10;827;-10;790;940;837;908;18.0;9.0;18.0;
36;37;14;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;53;608;-10;839;-10;780;935;832;903;23.0;5.0;;
37;38;53;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];63;3;550;-10;829;-10;770;925;885;898;4.0;4.0;4.0;
38;39;7;['Sample1'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;12;540;-10;832;-10;760;920;873;893;10.0;6.0;10.0;
39;40;12;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];17;10;523;-10;822;-10;767;915;868;888;19.0;9.0;19.0;
40;41;10;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];33;9;536;-10;812;-10;757;910;863;883;23.0;4.0;23.0;
41;42;9;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];97;9;522;-10;802;-10;747;905;858;970;23.0;0.0;23.0;
42;43;9;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];25;1;503;-10;792;-10;762;900;853;965;25.0;2.0;25.0;
43;44;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];10;13;498;-10;782;-10;760;895;848;960;28.0;3.0;28.0;
