;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;6;995;995;995;995;995;995;995;995;6.0;6.0;6.0;
1;2;6;['SpongeBob'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];32;4;979;1017;985;985;985;990;990;990;11.0;5.0;11.0;
2;3;12;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];10;1;974;1007;975;963;985;985;985;985;15.0;4.0;15.0;
3;4;24;['AggressiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];80;8;964;1077;965;934;975;980;980;980;20.0;5.0;20.0;
4;5;48;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];55;6;959;1067;955;876;1020;975;975;975;26.0;6.0;26.0;
5;6;96;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];17;7;949;1057;945;787;1015;970;970;970;30.0;4.0;30.0;
6;7;192;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];22;5;944;1047;935;585;1027;965;965;965;33.0;3.0;33.0;
7;8;384;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;10;939;1037;925;191;1041;960;960;960;42.0;9.0;42.0;
8;9;346;['PassiveLauncher'];1;Mission failure;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu'];33;3;929;681;915;181;1036;950;955;955;6.0;6.0;6.0;
9;10;311;['PassiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;33;924;360;905;190;1026;945;950;950;11.0;5.0;11.0;
10;11;280;['PassiveLauncher'];1;Sample1;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1', 'Sample2'];52;29;919;70;895;180;1016;940;992;940;13.0;2.0;13.0;
11;12;180;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu'];43;3;952;60;885;-5;1006;930;987;935;2.0;2.0;2.0;
12;13;60;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];10;30;947;0;875;-5;996;925;982;930;12.0;10.0;12.0;
13;14;30;['SpongeBob'];1;Mission failure;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];56;18;907;-10;865;-5;986;915;972;920;1.0;1.0;1.0;
14;15;18;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];39;5;918;-10;855;-5;976;910;962;915;11.0;10.0;11.0;
15;16;19;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];11;3;913;-10;845;-5;977;905;938;910;15.0;4.0;15.0;
16;17;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];11;15;905;-10;835;-5;978;900;933;905;21.0;6.0;21.0;
17;18;15;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];28;18;885;-10;853;-5;968;890;928;895;9.0;9.0;9.0;
18;19;18;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];29;8;857;-10;843;-5;958;885;947;890;16.0;7.0;16.0;
19;20;8;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];52;2;839;-10;833;-5;948;927;942;880;10.0;10.0;10.0;
20;21;7;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];6;1;834;-10;823;-5;944;922;930;875;12.0;2.0;12.0;
21;22;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];10;9;829;-10;823;-5;932;917;925;870;19.0;7.0;19.0;
22;23;9;['SpongeBob'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];49;5;810;-10;813;-5;922;912;920;865;25.0;6.0;25.0;
