;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;11;995;995;995;995;995;995;995;995;4.0;4.0;4.0;
1;2;11;['SpongeBob'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];26;36;979;985;985;1011;985;990;990;990;10.0;6.0;10.0;
2;3;36;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];60;8;933;975;1035;1001;975;985;985;985;14.0;4.0;14.0;
3;4;72;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];14;16;928;965;1025;933;965;980;980;980;18.0;4.0;18.0;
4;5;144;['AggressiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];28;3;923;983;1015;779;955;975;975;975;27.0;9.0;27.0;
5;6;288;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;12;918;973;1005;500;945;970;970;970;32.0;5.0;32.0;
6;7;500;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];22;7;930;963;995;-10;935;965;965;965;34.0;2.0;34.0;
7;8;450;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];14;6;925;517;985;-10;925;960;960;960;41.0;7.0;41.0;
8;9;405;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher'];18;1;920;102;993;-10;920;955;955;955;41.0;0.0;41.0;
9;10;102;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];21;10;915;-10;983;-10;931;950;950;950;48.0;7.0;48.0;
10;11;10;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;7;895;-10;992;-10;921;945;945;945;53.0;5.0;53.0;
11;12;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];41;6;919;-10;982;-10;911;940;940;940;55.0;2.0;55.0;
12;13;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];138;15;908;-10;1110;-10;901;935;935;935;62.0;7.0;62.0;
13;14;15;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];50;31;883;-10;1100;-10;891;925;925;975;8.0;8.0;8.0;
14;15;31;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Manu', 'Sample2'];46;24;847;-10;1136;-10;886;915;920;965;1.0;1.0;1.0;
15;16;24;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];33;4;813;-10;1126;-10;909;910;910;960;5.0;4.0;5.0;
16;17;10;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];13;11;808;-10;1129;-10;899;905;895;955;7.0;2.0;7.0;
17;18;11;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];36;115;792;-10;1155;-10;889;900;890;950;11.0;4.0;11.0;
18;19;115;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];129;4;667;-10;1145;-10;879;890;880;1069;6.0;6.0;6.0;
19;20;7;['Sample1', 'Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];57;10;662;-10;1135;-10;926;885;868;1057;14.0;8.0;14.0;
20;21;10;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample1'];38;4;647;-10;1163;-10;916;880;858;1052;23.0;9.0;23.0;
21;22;4;['SpongeBob', 'Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;2;645;-10;1153;-10;906;875;849;1047;26.0;3.0;26.0;
22;23;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];19;3;638;-10;1143;-10;913;870;844;1042;28.0;2.0;28.0;
23;24;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];10;4;635;-10;1133;-10;903;865;839;1037;38.0;10.0;38.0;
24;25;4;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];14;6;626;-10;1137;-10;893;860;834;1032;44.0;6.0;44.0;
25;26;6;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];18;9;610;-10;1127;-10;901;850;829;1027;0.0;0.0;0.0;
26;27;9;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];22;7;596;-10;1117;-10;891;845;841;1017;8.0;8.0;8.0;
27;28;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;11;597;-10;1107;-10;881;840;836;1012;16.0;8.0;16.0;
28;29;11;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];33;19;581;-10;1097;-10;871;863;831;1002;3.0;3.0;3.0;
29;30;19;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];36;4;552;-10;1087;-10;861;858;857;997;7.0;4.0;7.0;
30;31;13;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];21;8;547;-10;1098;-10;851;853;839;992;8.0;1.0;8.0;
31;32;8;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];25;6;554;-10;1088;-10;841;848;834;987;13.0;5.0;13.0;
32;33;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];17;11;543;-10;1095;-10;831;843;829;982;20.0;7.0;20.0;
33;34;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];26;6;548;-10;1085;-10;821;838;824;972;25.0;5.0;25.0;
34;35;6;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];48;1;537;-10;1075;-10;859;833;819;967;32.0;7.0;32.0;
35;36;2;['Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;15;539;-10;1065;-10;847;828;814;962;36.0;4.0;36.0;
36;37;15;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];34;13;514;-10;1055;-10;837;852;804;957;5.0;5.0;5.0;
37;38;13;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];25;11;496;-10;1045;-10;827;847;799;972;12.0;7.0;12.0;
38;39;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;11;493;-10;1035;-10;817;842;794;967;17.0;5.0;17.0;
39;40;11;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];28;5;472;-10;1025;-10;807;860;789;962;1.0;1.0;1.0;
40;41;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];38;6;495;-10;1015;-10;802;855;784;957;8.0;7.0;8.0;
41;42;6;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];15;9;484;-10;1005;-10;807;850;779;952;15.0;7.0;15.0;
42;43;9;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];32;2;470;-10;1027;-10;802;845;774;947;18.0;3.0;18.0;
43;44;2;['SpongeBob', 'Evie'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];11;10;458;-10;1017;-10;801;840;769;942;21.0;3.0;21.0;
44;45;10;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];20;17;443;-10;1027;-10;791;835;764;937;31.0;10.0;31.0;
45;46;17;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];36;6;452;-10;1017;-10;781;825;754;932;9.0;9.0;9.0;
46;47;6;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];16;1;441;-10;1007;-10;787;820;749;927;13.0;4.0;13.0;
47;48;7;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;19;443;-10;997;-10;777;815;737;922;17.0;4.0;17.0;
48;49;19;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Sample2'];65;144;419;-10;987;-10;772;810;732;977;27.0;10.0;;
49;50;144;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];177;9;442;-10;977;-10;762;800;722;967;3.0;3.0;3.0;
50;51;9;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];14;2;428;-10;967;-10;766;795;717;962;8.0;5.0;8.0;
51;52;10;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;9;434;-10;957;-10;756;790;702;957;12.0;4.0;12.0;
52;53;9;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];14;4;420;-10;947;-10;760;785;697;952;14.0;2.0;14.0;
53;54;4;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];9;4;411;-10;937;-10;759;780;692;947;16.0;2.0;16.0;
54;55;4;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];15;8;397;-10;927;-10;764;775;687;942;20.0;4.0;20.0;
55;56;8;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];20;10;384;-10;937;-10;754;770;682;937;20.0;0.0;20.0;
56;57;10;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];17;7;364;-10;944;-10;744;765;677;932;24.0;4.0;24.0;
57;58;7;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];31;4;352;-10;934;-10;765;760;672;927;28.0;4.0;28.0;
58;59;4;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;3;356;-10;924;-10;755;755;667;922;29.0;1.0;29.0;
59;60;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];19;3;348;-10;914;-10;764;750;662;917;35.0;6.0;35.0;
60;61;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;1;351;-10;904;-10;754;745;657;912;40.0;5.0;40.0;
61;62;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];11;6;346;-10;894;-10;753;740;652;907;45.0;5.0;45.0;
62;63;6;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];21;12;351;-10;884;-10;743;735;647;902;54.0;9.0;54.0;
63;64;12;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Sample1'];31;8;334;-10;874;-10;733;730;637;897;56.0;2.0;56.0;
64;65;8;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];39;9;355;-10;864;-10;723;720;632;887;7.0;7.0;7.0;
65;66;9;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;10;352;-10;854;-10;713;715;627;882;8.0;1.0;8.0;
66;67;10;['SpongeBob', 'Sample1'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];19;5;337;-10;844;-10;703;710;626;877;14.0;6.0;14.0;
67;68;11;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];11;1;338;-10;834;-10;693;705;610;872;15.0;1.0;15.0;
68;69;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];9;12;333;-10;824;-10;690;700;605;867;19.0;4.0;19.0;
69;70;12;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];39;2;311;-10;814;-10;680;695;600;896;20.0;1.0;20.0;
70;71;4;['Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];11;2;306;-10;815;-10;670;690;595;887;24.0;4.0;24.0;
71;72;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];29;23;299;-10;805;-10;687;685;590;882;26.0;2.0;26.0;
72;73;23;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];38;8;304;-10;795;-10;677;675;580;877;7.0;7.0;7.0;
73;74;8;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];20;1;291;-10;785;-10;667;670;575;887;14.0;7.0;14.0;
74;75;7;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];12;2;286;-10;787;-10;657;665;563;882;24.0;10.0;24.0;
75;76;2;['SpongeBob', 'Evie'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;8;274;-10;777;-10;665;660;558;877;34.0;10.0;34.0;
76;77;8;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];16;11;261;-10;767;-10;655;666;553;872;3.0;3.0;3.0;
77;78;11;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];19;15;245;-10;757;-10;664;661;548;867;9.0;6.0;9.0;
78;79;15;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];36;2;225;-10;747;-10;654;656;574;862;13.0;4.0;13.0;
79;80;4;['Sample1'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];21;6;215;-10;758;-10;644;651;565;857;13.0;0.0;13.0;
80;81;6;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];15;3;204;-10;748;-10;634;646;560;862;16.0;3.0;16.0;
81;82;4;['Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];14;0;208;-10;738;-10;624;641;555;853;17.0;1.0;17.0;
82;83;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];39;3;203;-10;767;-10;612;636;550;848;26.0;9.0;26.0;
83;84;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];17;2;207;-10;757;-10;602;631;545;843;31.0;5.0;31.0;
84;85;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];28;8;200;-10;747;-10;618;626;540;838;39.0;8.0;39.0;
85;86;8;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];26;6;208;-10;737;-10;608;621;530;833;48.0;9.0;48.0;
86;87;6;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];34;12;197;-10;727;-10;598;611;525;857;1.0;1.0;1.0;
87;88;12;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];23;23;175;-10;740;-10;588;606;520;852;10.0;9.0;10.0;
88;89;23;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];59;1;142;-10;730;-10;578;596;569;847;0.0;0.0;0.0;
89;90;13;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];10;3;137;-10;720;-10;578;591;551;842;5.0;5.0;5.0;
90;91;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];13;1;129;-10;710;-10;581;586;546;837;10.0;5.0;10.0;
91;92;2;['Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];11;4;130;-10;700;-10;569;581;541;832;16.0;6.0;16.0;
92;93;4;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];23;21;121;-10;690;-10;582;576;536;827;17.0;1.0;17.0;
93;94;21;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];36;0;90;-10;680;-10;572;571;526;853;18.0;1.0;18.0;
94;95;4;['Sample1', 'Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];25;21;85;-10;670;-10;587;566;517;844;21.0;3.0;21.0;
