;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;9;995;995;995;995;995;995;995;995;1.0;1.0;1.0;
1;2;9;['SpongeBob'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;11;981;985;1009;985;985;990;990;990;11.0;10.0;11.0;
2;3;18;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];50;17;1021;975;999;957;975;985;985;985;14.0;3.0;14.0;
3;4;36;['AggressiveLauncher'];1;Sample1;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1', 'Sample2'];43;13;1016;965;989;911;965;980;1018;975;14.0;0.0;14.0;
4;5;72;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];28;20;1011;955;979;857;955;975;1013;970;15.0;1.0;15.0;
5;6;144;['AggressiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];49;6;1001;994;969;708;945;970;1008;965;24.0;9.0;24.0;
6;7;288;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];20;11;996;984;959;430;935;965;1003;960;31.0;7.0;31.0;
7;8;430;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];34;4;1020;974;949;-10;925;955;998;955;4.0;4.0;4.0;
8;9;387;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];14;13;1015;591;939;-10;915;950;993;950;7.0;3.0;7.0;
9;10;348;['PassiveLauncher'];1;Sample1;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];45;20;1005;233;929;-10;905;945;1028;940;15.0;8.0;15.0;
10;11;233;['PassiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'Manu'];36;7;1000;-10;919;-10;900;971;1023;935;0.0;0.0;0.0;
11;12;7;['SpongeBob', 'Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;5;999;-10;909;-10;890;966;1011;930;2.0;2.0;2.0;
12;13;5;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];16;2;989;-10;899;-10;880;961;1006;925;12.0;10.0;12.0;
13;14;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];30;5;982;-10;919;-10;868;956;1001;920;14.0;2.0;14.0;
14;15;5;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;10;967;-10;909;-10;871;951;996;915;20.0;6.0;20.0;
15;16;10;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];31;6;952;-10;899;-10;861;946;1017;910;30.0;10.0;30.0;
16;17;6;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];26;6;936;-10;889;-10;851;941;1012;926;36.0;6.0;36.0;
17;18;7;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu'];14;21;931;-10;893;-10;841;931;1000;921;6.0;6.0;6.0;
18;19;21;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];29;12;905;-10;883;-10;831;926;1019;916;10.0;4.0;10.0;
19;20;12;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];32;41;883;-10;905;-10;821;921;1014;911;18.0;8.0;;
20;21;41;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];66;11;898;-10;895;-10;811;911;1004;901;8.0;8.0;8.0;
21;22;11;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];18;3;882;-10;885;-10;819;906;999;896;14.0;6.0;14.0;
22;23;13;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];9;17;881;-10;875;-10;809;901;981;891;18.0;4.0;18.0;
23;24;17;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];33;9;859;-10;865;-10;799;924;976;881;10.0;10.0;10.0;
24;25;9;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];21;14;861;-10;855;-10;789;919;966;876;19.0;9.0;;
25;26;14;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];32;3;842;-10;845;-10;779;941;961;866;3.0;3.0;3.0;
26;27;10;['Sample2'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;12;832;-10;835;-10;769;936;956;851;7.0;4.0;7.0;
27;28;12;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];30;2;815;-10;825;-10;789;931;951;846;16.0;9.0;16.0;
28;29;2;['SpongeBob', 'Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;8;816;-10;815;-10;777;926;946;841;18.0;2.0;18.0;
29;30;8;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];19;50;803;-10;805;-10;767;921;941;850;28.0;10.0;;
30;31;50;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];60;12;748;-10;795;-10;757;911;991;845;2.0;2.0;2.0;
31;32;12;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];23;9;749;-10;785;-10;747;906;986;840;12.0;10.0;12.0;
32;33;10;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];17;2;744;-10;792;-10;737;901;971;835;14.0;2.0;14.0;
33;34;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];15;43;737;-10;782;-10;740;896;966;830;23.0;9.0;23.0;
34;35;43;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];68;0;684;-10;772;-10;730;886;961;888;1.0;1.0;1.0;
35;36;4;['Sample2'];1;AlwaysLauncher;['AlwaysLauncher'];9;3;679;-10;771;-10;725;881;956;879;10.0;9.0;10.0;
36;37;3;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];30;10;666;-10;761;-10;745;876;951;874;10.0;0.0;10.0;
37;38;10;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];20;7;651;-10;751;-10;755;871;946;864;16.0;6.0;16.0;
38;39;7;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];22;5;639;-10;763;-10;745;866;941;859;23.0;7.0;23.0;
39;40;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];17;31;641;-10;753;-10;735;861;936;854;33.0;10.0;33.0;
40;41;31;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];48;2;648;-10;743;-10;725;851;926;849;10.0;10.0;10.0;
41;42;4;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];28;5;643;-10;761;-10;715;846;917;844;16.0;6.0;16.0;
42;43;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;7;646;-10;751;-10;705;841;912;839;18.0;2.0;18.0;
43;44;7;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];28;4;634;-10;741;-10;695;836;907;857;21.0;3.0;21.0;
44;45;4;['SpongeBob', 'Sample2'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];28;0;620;-10;759;-10;685;831;902;848;25.0;4.0;25.0;
45;46;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];5;15;615;-10;749;-10;678;826;897;843;31.0;6.0;31.0;
46;47;15;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];26;20;595;-10;765;-10;668;816;887;838;6.0;6.0;6.0;
47;48;20;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];33;1;598;-10;755;-10;658;811;882;828;7.0;1.0;7.0;
48;49;7;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];5;7;593;-10;745;-10;653;806;870;823;17.0;10.0;17.0;
49;50;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];23;6;599;-10;735;-10;643;801;865;818;20.0;3.0;20.0;
50;51;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];12;9;588;-10;737;-10;633;796;860;813;21.0;1.0;21.0;
51;52;9;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];35;13;569;-10;727;-10;658;791;855;808;29.0;8.0;29.0;
52;53;13;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];26;1;551;-10;717;-10;648;781;850;824;1.0;1.0;1.0;
53;54;4;['Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];24;5;565;-10;707;-10;638;776;845;815;10.0;9.0;10.0;
54;55;5;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Sample1'];16;5;555;-10;697;-10;633;771;851;810;12.0;2.0;12.0;
55;56;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;7;560;-10;687;-10;623;766;846;805;14.0;2.0;;
56;56;7;['SpongeBob', 'Sample1'];2;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;7;553;-10;687;-10;623;766;839;805;;;14.0;
57;56;7;['SpongeBob'];3;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;7;546;-10;687;-10;623;766;839;805;;;14.0;
58;56;7;['SpongeBob'];4;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;7;539;-10;687;-10;623;766;839;805;;;14.0;
59;57;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];19;9;541;-10;677;-10;618;761;834;800;14.0;0.0;14.0;
60;58;9;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];21;5;527;-10;667;-10;608;756;829;811;14.0;0.0;14.0;
61;59;5;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher'];12;2;512;-10;669;-10;603;751;824;806;16.0;2.0;16.0;
62;60;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];10;3;505;-10;659;-10;601;746;819;801;18.0;2.0;18.0;
63;61;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];9;6;497;-10;649;-10;600;741;814;796;27.0;9.0;27.0;
64;62;6;['SpongeBob'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];28;10;481;-10;639;-10;590;736;809;791;35.0;8.0;35.0;
65;63;10;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];24;7;466;-10;629;-10;580;731;823;786;42.0;7.0;42.0;
66;64;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];18;1;467;-10;619;-10;570;721;818;781;9.0;9.0;9.0;
67;65;7;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];7;4;462;-10;616;-10;560;716;806;776;17.0;8.0;17.0;
68;66;4;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];17;4;448;-10;606;-10;550;711;801;783;21.0;4.0;21.0;
69;67;4;['SpongeBob', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];14;5;439;-10;610;-10;540;706;796;774;31.0;10.0;31.0;
70;68;5;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];16;9;424;-10;600;-10;530;701;802;769;38.0;7.0;;
71;69;9;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];24;8;410;-10;590;-10;520;715;797;764;3.0;3.0;3.0;
72;70;8;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Sample2'];20;9;392;-10;580;-10;515;710;792;774;12.0;9.0;12.0;
73;71;9;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];20;7;393;-10;570;-10;510;705;787;769;19.0;7.0;19.0;
74;72;7;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];40;45;381;-10;600;-10;500;700;782;764;24.0;5.0;;
