;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;5;995;995;995;995;995;995;995;995;8.0;8.0;8.0;
1;2;5;['SpongeBob', 'Sample1'];1;Mission failure;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;5;980;985;985;985;985;990;985;990;11.0;3.0;11.0;
2;3;10;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];21;5;975;975;996;965;975;985;980;985;16.0;5.0;16.0;
3;4;20;['AggressiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];12;6;970;965;986;935;965;980;975;980;18.0;2.0;18.0;
4;5;40;['AggressiveLauncher'];1;Evie;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;25;960;955;976;885;979;975;970;975;24.0;6.0;24.0;
5;6;80;['AggressiveLauncher'];1;Sample2;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample2'];101;33;955;945;966;795;969;965;965;1066;8.0;8.0;8.0;
6;7;160;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1'];45;3;950;935;956;670;959;960;955;1061;14.0;6.0;14.0;
7;8;320;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];11;9;951;925;946;345;949;955;950;1056;21.0;7.0;21.0;
8;9;345;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];40;3;946;915;976;-10;939;950;945;1051;29.0;8.0;29.0;
9;10;310;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];21;14;941;616;966;-10;929;945;940;1046;37.0;8.0;37.0;
10;11;279;['PassiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];30;7;936;327;956;-10;919;935;930;1036;5.0;5.0;5.0;
11;12;251;['PassiveLauncher'];1;Evie;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];32;10;926;66;946;-10;941;930;925;1031;6.0;1.0;6.0;
12;13;66;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];25;9;921;-10;961;-10;931;925;920;1026;15.0;9.0;;
13;13;9;['SpongeBob'];2;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];25;9;912;-10;961;-10;931;925;920;1026;;;15.0;
14;13;9;['SpongeBob'];3;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];25;9;903;-10;961;-10;931;925;920;1026;;;15.0;
15;14;9;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];20;11;904;-10;951;-10;926;920;915;1021;18.0;3.0;18.0;
16;15;11;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];25;5;888;-10;941;-10;941;915;910;1016;20.0;2.0;20.0;
17;16;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];45;6;918;-10;931;-10;931;910;905;1011;22.0;2.0;22.0;
18;17;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];125;9;907;-10;1046;-10;926;905;900;1006;23.0;1.0;23.0;
19;18;9;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];24;16;893;-10;1060;-10;916;900;895;1001;23.0;0.0;23.0;
20;19;16;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];28;6;872;-10;1050;-10;934;895;890;991;31.0;8.0;31.0;
21;20;6;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];35;30;891;-10;1040;-10;924;890;885;986;34.0;3.0;34.0;
22;21;30;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];44;5;856;-10;1030;-10;914;924;875;981;5.0;5.0;5.0;
23;22;5;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];24;0;846;-10;1020;-10;928;919;870;976;5.0;0.0;5.0;
24;23;2;['Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];9;3;845;-10;1010;-10;916;914;865;971;5.0;0.0;5.0;
25;24;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;8;845;-10;1000;-10;906;909;860;966;9.0;4.0;9.0;
26;25;8;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];36;12;832;-10;990;-10;932;904;855;956;16.0;7.0;16.0;
27;26;12;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];35;8;845;-10;980;-10;922;899;850;951;18.0;2.0;18.0;
28;27;8;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];31;29;832;-10;970;-10;912;894;871;946;24.0;6.0;24.0;
29;28;29;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];41;12;834;-10;960;-10;902;884;866;941;8.0;8.0;8.0;
30;29;12;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];24;25;817;-10;950;-10;892;879;861;955;10.0;2.0;10.0;
31;30;25;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];37;33;819;-10;940;-10;882;874;856;950;14.0;4.0;14.0;
32;31;33;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Manu'];40;27;781;-10;930;-10;872;864;851;945;10.0;10.0;10.0;
33;32;27;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];35;13;744;-10;920;-10;862;859;876;940;10.0;0.0;10.0;
34;33;19;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];24;83;739;-10;910;-10;876;854;852;930;13.0;3.0;;
35;34;83;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];98;15;646;-10;900;-10;866;844;842;1018;2.0;2.0;2.0;
36;35;21;['Sample1'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];25;1;641;-10;890;-10;856;839;816;1033;2.0;0.0;2.0;
37;36;10;['Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];6;10;637;-10;880;-10;846;834;811;1018;3.0;1.0;3.0;
38;37;10;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];14;2;622;-10;884;-10;836;829;806;1013;12.0;9.0;12.0;
39;38;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];53;4;610;-10;927;-10;824;824;801;1008;16.0;4.0;;
40;38;4;['SpongeBob'];2;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];53;4;606;-10;927;-10;824;824;801;1008;;;16.0;
41;38;4;['SpongeBob'];3;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];53;4;602;-10;927;-10;824;824;801;1008;;;16.0;
42;39;4;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];21;8;609;-10;917;-10;819;819;796;1003;23.0;7.0;23.0;
43;40;8;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];14;28;596;-10;907;-10;809;814;791;998;25.0;2.0;25.0;
44;41;28;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];45;0;558;-10;897;-10;799;804;781;1033;7.0;7.0;7.0;
45;42;4;['Sample1', 'Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];11;16;553;-10;887;-10;800;799;772;1024;9.0;2.0;9.0;
46;43;16;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];55;1;582;-10;877;-10;790;794;767;1019;13.0;4.0;13.0;
47;44;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];10;39;577;-10;877;-10;778;789;762;1014;13.0;0.0;13.0;
48;45;39;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Sample1', 'Sample2'];62;6;533;-10;867;-10;773;784;814;1004;20.0;7.0;20.0;
49;46;7;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];30;3;528;-10;887;-10;763;779;802;999;20.0;0.0;20.0;
50;47;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];19;3;534;-10;877;-10;758;774;797;994;29.0;9.0;29.0;
51;48;3;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];5;23;526;-10;872;-10;753;769;792;989;39.0;10.0;39.0;
52;49;23;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];34;0;527;-10;862;-10;743;759;787;984;2.0;2.0;2.0;
53;50;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];7;8;522;-10;852;-10;738;754;782;979;12.0;10.0;12.0;
54;51;8;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];12;2;509;-10;842;-10;728;749;777;974;21.0;9.0;21.0;
55;52;2;['SpongeBob', 'Evie'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];25;6;497;-10;832;-10;741;744;772;969;24.0;3.0;24.0;
56;53;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];18;10;486;-10;840;-10;731;739;767;964;24.0;0.0;24.0;
57;54;10;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;7;486;-10;830;-10;721;734;762;959;26.0;2.0;26.0;
58;55;7;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];29;9;474;-10;849;-10;711;729;757;954;30.0;4.0;30.0;
59;56;9;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];17;3;472;-10;839;-10;701;724;752;949;37.0;7.0;37.0;
60;57;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];15;14;464;-10;829;-10;706;719;747;944;41.0;4.0;41.0;
61;58;14;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];19;1;445;-10;819;-10;715;714;742;939;51.0;10.0;51.0;
62;59;2;['Evie'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;52;435;-10;809;-10;715;709;737;934;56.0;5.0;;
63;60;52;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];114;44;378;-10;799;-10;705;699;841;924;2.0;2.0;2.0;
64;61;44;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];70;26;324;-10;859;-10;695;694;831;914;3.0;1.0;3.0;
65;62;26;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];33;24;293;-10;882;-10;685;689;826;909;11.0;8.0;11.0;
66;63;24;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];49;18;259;-10;872;-10;724;684;821;904;11.0;0.0;11.0;
67;64;18;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];28;24;236;-10;862;-10;742;679;816;899;20.0;9.0;20.0;
68;65;24;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Sample2'];35;53;237;-10;852;-10;737;669;811;889;1.0;1.0;1.0;
69;66;53;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];67;4;241;-10;842;-10;727;664;801;884;10.0;9.0;10.0;
70;67;22;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];11;11;236;-10;832;-10;728;659;774;879;20.0;10.0;20.0;
