;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;2;995;995;995;995;995;995;995;995;9.0;9.0;9.0;
1;2;5;['Sample1'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];17;5;990;985;985;985;1002;990;985;990;11.0;2.0;11.0;
2;3;10;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];13;9;985;975;975;965;1005;985;980;985;15.0;4.0;15.0;
3;4;20;['AggressiveLauncher'];1;Sample2;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample2'];101;5;975;965;965;935;995;980;975;1076;22.0;7.0;22.0;
4;5;40;['AggressiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;1;970;979;955;885;985;975;970;1071;26.0;4.0;26.0;
5;6;80;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];17;1;977;969;945;795;975;970;965;1066;29.0;3.0;29.0;
6;7;160;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];12;3;972;959;947;625;965;965;960;1061;34.0;5.0;34.0;
7;8;320;['AggressiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];12;20;962;949;949;295;955;960;955;1056;43.0;9.0;43.0;
8;9;295;['AggressiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample1'];34;1;957;939;939;-10;945;950;945;1051;0.0;0.0;0.0;
9;10;266;['PassiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];18;5;952;663;929;-10;935;945;940;1046;7.0;7.0;7.0;
10;11;239;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];16;87;958;414;919;-10;925;940;935;1041;11.0;4.0;11.0;
11;12;215;['PassiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];101;10;953;189;909;-10;915;930;925;1031;0.0;0.0;0.0;
12;13;189;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];16;24;959;-10;899;-10;905;925;920;1026;7.0;7.0;7.0;
13;14;24;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];32;1;930;-10;889;-10;895;920;915;1048;7.0;0.0;7.0;
14;15;10;['Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];5;11;925;-10;884;-10;885;915;910;1033;13.0;6.0;13.0;
15;16;11;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher'];29;4;904;-10;903;-10;880;910;905;1028;22.0;9.0;22.0;
16;17;4;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];18;15;895;-10;911;-10;870;905;900;1023;23.0;1.0;23.0;
17;18;15;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];33;3;875;-10;901;-10;860;900;895;1018;27.0;4.0;27.0;
18;19;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];34;3;896;-10;891;-10;850;895;890;1013;27.0;0.0;27.0;
19;20;3;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];8;11;888;-10;881;-10;840;890;885;1008;30.0;3.0;30.0;
20;21;11;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;6;867;-10;889;-10;830;885;880;1003;40.0;10.0;40.0;
21;22;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];66;5;856;-10;945;-10;820;880;875;998;41.0;1.0;41.0;
22;23;5;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];17;12;841;-10;935;-10;827;875;870;993;41.0;0.0;41.0;
23;24;12;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];36;3;824;-10;925;-10;817;870;865;1019;50.0;9.0;50.0;
24;25;4;['Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];53;11;867;-10;915;-10;807;865;860;1010;50.0;0.0;50.0;
25;26;11;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];28;12;851;-10;905;-10;797;855;878;1005;0.0;0.0;0.0;
26;27;12;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;2;847;-10;895;-10;787;850;873;1000;10.0;10.0;10.0;
27;28;7;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];10;19;842;-10;885;-10;787;845;861;995;15.0;5.0;15.0;
28;29;19;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample2'];28;5;818;-10;903;-10;777;840;856;985;22.0;7.0;22.0;
29;30;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];15;8;818;-10;893;-10;767;835;851;980;22.0;0.0;22.0;
30;31;8;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];18;11;800;-10;883;-10;757;830;859;975;24.0;2.0;24.0;
31;32;11;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];22;1;779;-10;873;-10;747;842;854;965;7.0;7.0;7.0;
32;33;7;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];11;1;774;-10;874;-10;737;837;842;960;11.0;4.0;11.0;
33;34;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];8;37;769;-10;872;-10;725;832;837;955;14.0;3.0;14.0;
34;35;37;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];51;10;722;-10;862;-10;715;822;878;950;8.0;8.0;8.0;
35;36;10;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];26;15;707;-10;852;-10;731;817;873;945;8.0;0.0;8.0;
