;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;15;995;995;995;995;995;995;995;995;8.0;8.0;8.0;
1;2;15;['SpongeBob'];1;Mission failure;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];44;16;970;985;985;985;985;990;990;990;9.0;1.0;9.0;
2;3;30;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample2'];36;7;965;975;1011;945;975;985;985;980;16.0;7.0;16.0;
3;4;60;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];31;7;960;965;1001;906;970;980;980;975;21.0;5.0;21.0;
4;5;120;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];18;14;968;955;991;776;960;975;975;970;28.0;7.0;28.0;
5;6;240;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu'];25;1;963;945;981;551;955;965;970;965;4.0;4.0;4.0;
6;7;480;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];20;39;958;935;971;81;945;960;965;960;5.0;1.0;5.0;
7;8;432;['PassiveLauncher'];1;Sample2;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1', 'Sample2'];52;1;953;493;961;71;935;955;955;1002;7.0;2.0;7.0;
8;9;389;['PassiveLauncher'];1;Mission failure;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];22;9;943;94;951;61;925;950;950;997;10.0;3.0;10.0;
9;10;94;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];30;3;938;-10;971;51;915;945;945;992;20.0;10.0;20.0;
10;11;51;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'AggressiveLauncher'];14;5;942;-10;961;-10;910;940;940;987;21.0;1.0;21.0;
11;12;5;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];9;11;932;-10;951;-10;900;935;935;982;31.0;10.0;31.0;
12;13;11;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];27;5;916;-10;941;-10;890;952;925;977;0.0;0.0;0.0;
13;14;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;21;923;-10;931;-10;880;947;920;972;1.0;1.0;1.0;
14;15;21;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];31;5;897;-10;921;-10;870;942;915;993;2.0;1.0;2.0;
