;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;1;995;995;995;995;995;995;995;995;7.0;7.0;7.0;
1;2;5;['Sample1'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;12;990;985;985;985;1004;990;985;990;10.0;3.0;10.0;
2;3;12;['SpongeBob'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1'];24;13;973;999;975;975;994;985;975;985;15.0;5.0;15.0;
3;4;24;['AggressiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];23;11;963;989;988;941;984;980;970;980;15.0;0.0;15.0;
4;5;48;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample2'];25;2;958;979;1003;883;974;975;965;970;17.0;2.0;17.0;
5;6;96;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];23;20;953;969;993;800;964;970;960;965;27.0;10.0;27.0;
6;7;192;['AggressiveLauncher'];1;Manu;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];36;4;943;959;983;598;954;996;955;960;2.0;2.0;2.0;
7;8;384;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];16;14;938;949;989;204;944;991;950;955;9.0;7.0;9.0;
8;9;346;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;17;933;593;1003;194;934;986;945;950;17.0;8.0;17.0;
9;10;311;['PassiveLauncher'];1;Sample1;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Sample1'];30;5;923;272;993;184;929;981;965;945;21.0;4.0;21.0;
10;11;272;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];10;14;918;-10;993;174;919;976;960;940;24.0;3.0;24.0;
11;12;174;['AggressiveLauncher'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample2'];40;1;908;-10;983;-10;909;966;955;970;5.0;5.0;5.0;
12;13;4;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];36;40;903;-10;973;-10;935;961;950;961;7.0;2.0;7.0;
13;14;40;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];62;6;858;-10;963;-10;987;956;940;951;10.0;3.0;10.0;
14;15;7;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];15;3;863;-10;953;-10;977;951;928;946;10.0;0.0;10.0;
15;16;3;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];8;10;855;-10;943;-10;975;946;923;941;11.0;1.0;11.0;
16;17;10;['SpongeBob'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;4;835;-10;933;-10;965;941;918;936;15.0;4.0;15.0;
17;18;4;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];11;2;826;-10;934;-10;960;936;913;931;19.0;4.0;19.0;
18;19;2;['SpongeBob', 'Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];8;5;822;-10;924;-10;953;931;908;926;25.0;6.0;25.0;
19;20;5;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];15;16;812;-10;929;-10;943;926;903;921;34.0;9.0;34.0;
20;21;16;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];34;16;786;-10;919;-10;933;950;893;916;0.0;0.0;0.0;
21;22;16;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Sample2'];27;5;765;-10;909;-10;928;945;888;933;3.0;3.0;3.0;
22;23;7;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher'];15;17;760;-10;914;-10;923;940;876;928;6.0;3.0;6.0;
23;24;17;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];28;2;733;-10;904;-10;913;935;894;923;8.0;2.0;8.0;
24;25;4;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];7;7;728;-10;901;-10;903;930;885;918;10.0;2.0;10.0;
25;26;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];25;7;736;-10;891;-10;893;925;880;913;11.0;1.0;11.0;
26;27;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];15;13;734;-10;881;-10;883;920;875;908;16.0;5.0;16.0;
27;28;13;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];23;7;716;-10;871;-10;873;915;870;921;16.0;0.0;16.0;
28;29;7;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];15;2;704;-10;861;-10;878;910;865;916;24.0;8.0;24.0;
29;30;2;['SpongeBob', 'Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];11;1;703;-10;851;-10;871;905;860;911;29.0;5.0;29.0;
30;31;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];11;7;698;-10;841;-10;870;900;855;906;29.0;0.0;29.0;
