;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;4;995;995;995;995;995;995;995;995;5.0;5.0;5.0;
1;2;5;['Sample1'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];18;1;990;985;985;985;990;990;985;990;12.0;7.0;12.0;
2;3;10;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];10;20;980;975;975;975;980;985;980;985;20.0;8.0;20.0;
3;4;20;['SpongeBob', 'AggressiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];35;2;955;965;965;950;970;1010;970;980;0.0;0.0;0.0;
4;5;40;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];13;3;950;955;955;913;960;1005;965;975;2.0;2.0;2.0;
5;6;80;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;2;959;945;945;823;950;1000;960;970;8.0;6.0;8.0;
6;7;160;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];8;7;954;935;935;661;940;995;955;965;8.0;0.0;8.0;
7;8;320;['AggressiveLauncher'];1;Sample2;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample2'];18;22;949;925;925;331;930;990;950;973;17.0;9.0;17.0;
8;9;331;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1'];91;6;944;915;915;81;920;985;940;968;24.0;7.0;24.0;
9;10;298;['PassiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];14;3;939;607;905;85;910;980;935;963;29.0;5.0;29.0;
10;11;268;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];12;23;934;341;895;75;900;975;930;958;31.0;2.0;31.0;
11;12;241;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample2'];41;14;965;90;885;65;890;965;925;948;7.0;7.0;7.0;
12;13;90;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1'];24;22;960;14;875;55;880;960;915;943;12.0;5.0;12.0;
13;14;55;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];40;0;990;4;865;-10;870;950;910;938;8.0;8.0;8.0;
14;15;4;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];50;64;985;-10;905;-10;860;945;905;933;14.0;6.0;14.0;
15;16;64;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];75;2;916;-10;970;-10;850;935;895;923;7.0;7.0;7.0;
16;17;7;['Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];8;5;911;-10;968;-10;840;930;883;911;9.0;2.0;9.0;
17;18;5;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];10;12;901;-10;968;-10;830;925;878;906;15.0;6.0;15.0;
18;19;12;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];32;59;911;-10;958;-10;820;920;873;901;20.0;5.0;;
19;20;59;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];78;2;842;-10;948;-10;810;988;863;891;1.0;1.0;1.0;
20;21;7;['Sample1', 'Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];10;9;837;-10;938;-10;810;983;851;879;11.0;10.0;11.0;
21;22;9;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Sample2'];27;1;823;-10;928;-10;800;978;846;869;18.0;7.0;18.0;
22;23;4;['Sample2'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];17;9;813;-10;935;-10;790;973;841;860;25.0;7.0;25.0;
23;24;9;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];25;16;799;-10;925;-10;780;988;836;855;10.0;10.0;10.0;
