;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;12;995;995;995;995;995;995;995;995;6.0;6.0;6.0;
1;2;12;['SpongeBob'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;6;978;985;1004;985;985;990;990;990;13.0;7.0;13.0;
2;3;24;['AggressiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];25;13;968;975;1019;951;975;985;985;985;18.0;5.0;18.0;
3;4;48;['AggressiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];24;7;963;965;1009;893;965;975;980;980;10.0;10.0;10.0;
4;5;96;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];27;2;953;955;999;814;955;970;975;975;18.0;8.0;18.0;
5;6;192;['AggressiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;5;948;945;989;612;964;965;970;970;24.0;6.0;24.0;
6;7;384;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];14;16;952;935;979;218;954;960;965;965;34.0;10.0;34.0;
7;8;346;['PassiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample2'];59;7;947;579;969;208;944;1009;960;955;5.0;5.0;5.0;
8;9;311;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];22;1;942;258;959;198;956;1004;955;950;11.0;6.0;11.0;
9;10;258;['PassiveLauncher'];1;AlwaysLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];49;12;932;-10;998;188;946;999;950;945;14.0;3.0;14.0;
10;11;188;['AggressiveLauncher'];1;Mission failure;['AlwaysLauncher', 'AggressiveLauncher', 'Evie'];21;1;927;-10;988;-10;936;994;945;940;16.0;2.0;16.0;
11;12;2;['Evie'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];8;7;917;-10;986;-10;924;989;940;935;24.0;8.0;24.0;
12;13;7;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];21;6;905;-10;976;-10;914;984;935;930;31.0;7.0;31.0;
13;14;6;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];18;13;894;-10;966;-10;922;979;930;925;31.0;0.0;31.0;
14;15;13;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];24;60;876;-10;956;-10;912;974;944;920;33.0;2.0;;
15;16;60;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];88;29;806;-10;946;-10;902;964;939;998;1.0;1.0;1.0;
16;17;29;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];43;5;772;-10;979;-10;892;959;934;993;4.0;3.0;4.0;
17;18;5;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];70;11;762;-10;1039;-10;882;954;929;988;7.0;3.0;7.0;
18;19;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;69;761;-10;1029;-10;872;949;924;983;14.0;7.0;14.0;
19;20;69;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];84;8;687;-10;1019;-10;862;939;914;1057;9.0;9.0;9.0;
20;21;8;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];14;20;674;-10;1009;-10;866;934;909;1052;12.0;3.0;12.0;
21;22;20;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];35;2;679;-10;999;-10;856;929;904;1047;15.0;3.0;15.0;
22;23;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];21;1;672;-10;989;-10;865;924;899;1042;15.0;0.0;15.0;
23;24;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher'];5;22;667;-10;984;-10;858;919;894;1037;23.0;8.0;23.0;
24;25;22;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];36;8;635;-10;974;-10;848;909;889;1063;7.0;7.0;7.0;
25;26;8;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];26;13;622;-10;990;-10;838;904;884;1058;16.0;9.0;16.0;
26;27;13;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;12;621;-10;980;-10;828;899;879;1053;21.0;5.0;21.0;
27;28;12;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Sample1'];24;9;604;-10;970;-10;823;894;893;1048;25.0;4.0;25.0;
28;29;9;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu'];40;16;590;-10;1000;-10;813;884;888;1043;0.0;0.0;0.0;
29;30;16;['SpongeBob'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];23;8;564;-10;990;-10;803;879;883;1038;9.0;9.0;9.0;
30;31;8;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];13;4;551;-10;980;-10;806;874;878;1033;11.0;2.0;11.0;
31;32;4;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];23;2;537;-10;993;-10;796;869;873;1028;19.0;8.0;19.0;
32;33;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher'];3;3;530;-10;986;-10;789;864;868;1023;23.0;4.0;23.0;
33;34;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;8;535;-10;976;-10;779;859;863;1018;23.0;0.0;23.0;
34;35;8;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];18;32;522;-10;966;-10;769;854;858;1026;25.0;2.0;25.0;
35;36;32;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];43;6;485;-10;956;-10;759;844;891;1021;10.0;10.0;10.0;
36;37;6;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];15;48;484;-10;946;-10;749;839;886;1016;12.0;2.0;12.0;
37;38;48;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];57;13;431;-10;936;-10;739;829;876;1063;5.0;5.0;5.0;
38;39;13;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];104;10;512;-10;926;-10;729;824;871;1058;12.0;7.0;12.0;
39;40;13;['Sample1'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];60;11;507;-10;916;-10;719;819;853;1108;12.0;0.0;12.0;
40;41;11;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];35;5;486;-10;941;-10;709;814;848;1103;20.0;8.0;20.0;
41;42;5;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];7;8;476;-10;931;-10;706;809;843;1098;27.0;7.0;27.0;
42;43;8;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];13;2;463;-10;934;-10;696;804;838;1093;33.0;6.0;33.0;
43;44;2;['SpongeBob', 'Evie'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;23;451;-10;924;-10;697;799;833;1088;35.0;2.0;35.0;
44;45;23;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];41;14;423;-10;955;-10;687;789;828;1078;7.0;7.0;7.0;
45;46;14;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];33;7;399;-10;945;-10;710;784;818;1073;16.0;9.0;16.0;
46;47;7;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];20;19;387;-10;935;-10;700;794;813;1068;6.0;6.0;6.0;
47;48;19;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];30;2;358;-10;925;-10;690;789;808;1088;13.0;7.0;13.0;
48;49;4;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];30;21;353;-10;915;-10;710;784;803;1079;19.0;6.0;19.0;
49;50;21;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];38;27;322;-10;905;-10;700;812;793;1074;2.0;2.0;2.0;
50;51;27;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];42;28;290;-10;895;-10;732;807;788;1064;11.0;9.0;11.0;
51;52;28;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];43;7;252;-10;885;-10;722;797;821;1059;0.0;0.0;0.0;
52;53;13;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];14;4;247;-10;875;-10;726;792;803;1054;1.0;1.0;1.0;
53;54;4;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];47;18;233;-10;912;-10;716;787;798;1049;9.0;8.0;9.0;
54;55;18;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];39;6;205;-10;902;-10;706;782;827;1044;14.0;5.0;14.0;
55;56;6;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];37;11;194;-10;929;-10;696;777;822;1039;16.0;2.0;16.0;
56;57;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];45;15;218;-10;919;-10;686;772;817;1029;17.0;1.0;17.0;
57;58;15;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];38;9;198;-10;909;-10;676;762;845;1024;9.0;9.0;9.0;
58;59;13;['Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;24;207;-10;899;-10;666;757;827;1019;10.0;1.0;10.0;
59;60;24;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];31;34;178;-10;889;-10;656;752;848;1014;13.0;3.0;13.0;
60;61;34;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];42;14;139;-10;879;-10;646;742;843;1046;1.0;1.0;1.0;
61;62;18;['Sample1'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];26;1;129;-10;895;-10;636;737;820;1041;11.0;10.0;11.0;
62;63;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];7;4;124;-10;885;-10;631;732;815;1036;11.0;0.0;11.0;
63;64;4;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;3;110;-10;888;-10;621;727;810;1031;15.0;4.0;15.0;
64;65;3;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];7;22;102;-10;885;-10;611;722;805;1026;24.0;9.0;24.0;
65;66;22;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];40;1;70;-10;875;-10;601;712;835;1021;3.0;3.0;3.0;
66;67;4;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher'];6;17;65;-10;871;-10;596;707;826;1016;12.0;9.0;12.0;
67;68;17;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];25;11;63;-10;861;-10;586;702;821;1011;18.0;6.0;18.0;
68;69;11;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];31;2;47;-10;851;-10;607;697;816;1006;26.0;8.0;26.0;
69;70;2;['SpongeBob', 'Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;6;57;-10;841;-10;595;692;811;1001;27.0;1.0;27.0;
70;71;6;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];16;10;46;-10;831;-10;585;687;806;996;31.0;4.0;31.0;
71;72;10;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];15;6;31;-10;836;-10;575;682;801;991;40.0;9.0;40.0;
72;73;6;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;11;15;-10;845;-10;565;677;796;986;42.0;2.0;42.0;
73;74;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];27;12;21;-10;835;-10;555;672;791;981;50.0;8.0;50.0;
74;75;12;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];35;10;4;-10;825;-10;545;662;816;976;0.0;0.0;0.0;0.0
75;76;4;['SpongeBob', 'Manu', 'Sample1'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];52;7;-10;-10;867;-10;535;653;807;966;0.0;0.0;0.0;
76;77;4;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample1'];15;7;-10;-10;857;-10;540;648;797;957;5.0;5.0;5.0;
77;78;4;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];14;7;-10;-10;847;-10;544;643;788;952;14.0;9.0;14.0;
78;79;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];23;2;-10;-10;860;-10;532;638;783;947;17.0;3.0;17.0;
79;80;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];30;11;-10;-10;880;-10;520;633;778;942;19.0;2.0;19.0;
80;81;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];27;11;-10;-10;870;-10;535;628;773;932;20.0;1.0;20.0;
81;82;4;['Sample2'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];29;17;-10;-10;860;-10;525;623;792;923;25.0;5.0;25.0;
82;83;4;['Sample1'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];34;5;-10;-10;850;-10;515;647;783;918;8.0;8.0;8.0;
83;84;2;['Evie'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];17;12;-10;-10;840;-10;503;642;778;925;9.0;1.0;9.0;
84;85;4;['Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample1'];26;84;-10;-10;856;-10;493;637;768;916;19.0;10.0;;
85;86;4;['Manu', 'Sample1'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];106;8;-10;-10;846;-10;483;623;754;906;10.0;10.0;10.0;
86;87;6;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie', 'Manu'];14;6;-10;-10;836;-10;487;613;749;895;2.0;2.0;2.0;
87;88;8;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];54;42;-10;-10;880;-10;477;608;736;890;4.0;2.0;4.0;
88;89;7;['Sample1'];1;Mission failure;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];80;28;-10;-10;870;-10;467;603;719;880;6.0;2.0;6.0;
89;90;7;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];42;7;-10;-10;860;-10;499;598;714;863;13.0;7.0;13.0;
90;91;9;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];12;22;-10;-10;862;-10;489;593;700;858;14.0;1.0;14.0;
91;92;9;['Sample2'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];28;31;-10;-10;852;-10;479;611;695;844;2.0;2.0;6.0;4.0
92;93;4;['Manu'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];58;58;-10;-10;842;-10;527;602;685;834;7.0;1.0;7.0;
93;94;4;['Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];69;23;-10;-10;901;-10;517;592;671;820;6.0;6.0;10.0;4.0
94;95;6;['Manu'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];31;0;-10;-10;891;-10;507;607;666;815;7.0;7.0;7.0;
95;96;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];8;7;-10;-10;881;-10;503;602;661;810;10.0;3.0;10.0;
96;97;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];18;23;-10;-10;889;-10;491;597;656;805;12.0;2.0;12.0;
97;98;4;['Sample1'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];34;3;-10;-10;879;-10;481;592;676;795;18.0;6.0;18.0;
98;99;4;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];7;10;-10;-10;869;-10;478;587;671;786;22.0;4.0;22.0;
99;100;6;['Sample1'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];26;2;-10;-10;859;-10;468;603;660;781;9.0;9.0;9.0;
100;101;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher'];9;23;-10;-10;858;-10;461;598;655;776;10.0;1.0;10.0;
101;102;2;['Evie'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];41;33;-10;-10;848;-10;449;593;645;807;17.0;7.0;;
102;103;4;['Manu', 'Sample1', 'Sample2'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];44;13;-10;-10;838;-10;439;579;675;793;6.0;6.0;15.0;9.0
103;104;5;['Manu', 'Sample1', 'Sample2'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];38;9;-10;-10;828;-10;429;564;660;816;2.0;2.0;9.0;7.0
104;105;6;['Manu', 'Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];15;15;-10;-10;833;-10;419;553;649;805;14.0;5.0;14.0;
105;106;7;['Sample1'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];39;3;-10;-10;823;-10;409;543;671;800;4.0;4.0;4.0;
106;107;6;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];12;17;-10;-10;813;-10;411;538;660;795;4.0;0.0;4.0;
107;108;5;['Sample1'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];32;9;-10;-10;803;-10;401;533;645;817;8.0;4.0;8.0;
108;109;4;['Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];28;25;-10;-10;821;-10;391;528;636;808;13.0;5.0;13.0;
109;110;5;['Sample1', 'Sample2'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];34;17;-10;-10;811;-10;381;518;655;798;3.0;3.0;3.0;
110;111;6;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample2'];26;2;-10;-10;827;-10;371;513;644;788;10.0;7.0;10.0;
111;112;4;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];7;7;-10;-10;817;-10;368;508;639;779;11.0;1.0;11.0;
112;113;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];26;2;-10;-10;833;-10;356;503;634;774;20.0;9.0;20.0;
113;114;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];11;1;-10;-10;823;-10;355;498;629;769;24.0;4.0;24.0;
114;115;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];12;13;-10;-10;813;-10;355;493;624;764;33.0;9.0;33.0;
115;116;2;['Evie'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];33;11;-10;-10;803;-10;343;483;647;759;0.0;0.0;3.0;3.0
116;117;4;['Manu', 'Sample1'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];24;20;-10;-10;793;-10;357;474;638;749;12.0;9.0;12.0;
117;118;5;['Sample1'];1;Sample1;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];49;4;-10;-10;783;-10;347;464;672;744;9.0;9.0;9.0;
118;119;4;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];22;5;-10;-10;795;-10;337;459;663;739;10.0;1.0;10.0;
119;120;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];11;15;-10;-10;785;-10;336;454;658;734;15.0;5.0;15.0;
120;121;2;['Evie'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];30;10;-10;-10;775;-10;324;449;678;729;15.0;0.0;15.0;
121;122;4;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];15;7;-10;-10;765;-10;329;444;669;724;17.0;2.0;17.0;
122;123;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];21;4;-10;-10;776;-10;317;439;664;719;22.0;5.0;22.0;
123;124;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];14;3;-10;-10;766;-10;319;434;659;714;32.0;10.0;32.0;
124;125;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];8;10;-10;-10;764;-10;307;429;654;709;42.0;10.0;42.0;
125;126;2;['Evie'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];21;1;-10;-10;754;-10;295;440;649;704;5.0;5.0;5.0;
126;127;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];23;21;-10;-10;744;-10;306;435;644;699;8.0;3.0;8.0;
127;128;2;['Evie'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];41;2;-10;-10;734;-10;294;430;634;730;9.0;1.0;9.0;
128;129;4;['Sample1', 'Sample2'];1;Evie;['AlwaysLauncher', 'Evie'];8;3;-10;-10;724;-10;292;425;625;721;10.0;1.0;10.0;
129;130;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];8;1;-10;-10;714;-10;288;420;620;716;11.0;1.0;11.0;
130;131;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];12;3;-10;-10;704;-10;288;415;615;711;19.0;8.0;19.0;
131;132;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];11;3;-10;-10;694;-10;287;410;610;706;29.0;10.0;29.0;
132;133;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];12;32;-10;-10;684;-10;287;405;605;701;37.0;8.0;;
133;134;4;['Manu'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];47;4;-10;-10;674;-10;277;438;595;691;6.0;6.0;6.0;
134;135;4;['Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher'];11;0;-10;-10;675;-10;272;433;586;682;12.0;6.0;12.0;
135;136;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];6;7;-10;-10;665;-10;266;428;581;677;17.0;5.0;17.0;
136;137;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];21;2;-10;-10;676;-10;254;423;576;672;19.0;2.0;19.0;
137;138;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];26;8;-10;-10;666;-10;268;418;571;667;28.0;9.0;28.0;
138;139;2;['Evie'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];22;6;-10;-10;656;-10;256;413;583;662;35.0;7.0;35.0;
139;140;4;['Sample1'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];22;15;-10;-10;646;-10;246;425;574;657;8.0;8.0;9.0;1.0
140;141;4;['Manu'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];35;3;-10;-10;636;-10;271;416;569;647;15.0;6.0;15.0;
141;142;4;['Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];16;7;-10;-10;642;-10;261;411;564;638;23.0;8.0;23.0;
142;143;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu'];25;13;-10;-10;657;-10;249;401;559;633;2.0;2.0;11.0;9.0
143;144;4;['Manu'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];33;7;-10;-10;647;-10;239;392;582;628;17.0;6.0;17.0;
144;145;4;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher'];20;15;-10;-10;657;-10;234;387;573;623;24.0;7.0;24.0;
145;146;3;['Sample1'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];25;23;-10;-10;647;-10;224;377;565;638;7.0;7.0;8.0;1.0
146;147;4;['Manu', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Sample1'];37;5;-10;-10;674;-10;219;368;555;629;17.0;9.0;17.0;
147;148;5;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];10;6;-10;-10;674;-10;209;363;545;624;23.0;6.0;23.0;
148;149;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie', 'Manu'];21;3;-10;-10;664;-10;218;353;540;619;8.0;8.0;8.0;
