;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;10;995;995;995;995;995;995;995;995;10.0;10.0;10.0;
1;2;10;['SpongeBob'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];18;5;980;985;985;1003;990;990;990;990;11.0;1.0;11.0;
2;3;20;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];22;61;992;975;975;973;980;985;985;985;12.0;1.0;12.0;
3;4;61;['SpongeBob'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample1'];74;43;926;965;965;963;970;1049;975;980;9.0;9.0;9.0;
4;5;122;['AggressiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample2'];56;2;921;1011;955;831;960;1044;970;970;17.0;8.0;17.0;
5;6;244;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];20;12;911;1001;945;597;950;1039;965;965;20.0;3.0;20.0;
6;7;488;['AggressiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample1'];33;23;906;991;935;99;940;1062;955;960;9.0;9.0;9.0;
7;8;439;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample2'];34;3;901;576;925;89;930;1057;950;950;10.0;1.0;10.0;
8;9;395;['PassiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];10;4;891;171;915;89;925;1052;945;945;19.0;9.0;19.0;
9;10;171;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];15;11;886;-10;905;79;930;1047;940;940;27.0;8.0;27.0;
10;11;79;['AggressiveLauncher'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'AggressiveLauncher', 'Manu'];28;17;876;-10;895;-10;925;1037;935;935;2.0;2.0;2.0;
11;12;17;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];38;3;854;-10;885;-10;915;1032;930;963;7.0;5.0;7.0;
12;13;4;['Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;5;857;-10;875;-10;905;1027;925;954;13.0;6.0;13.0;
13;14;5;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];8;56;847;-10;873;-10;895;1022;920;949;15.0;2.0;15.0;
14;15;56;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];77;47;781;-10;863;-10;885;1089;910;939;0.0;0.0;0.0;
15;16;47;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];55;94;729;-10;908;-10;875;1084;900;929;7.0;7.0;7.0;
16;17;94;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];152;4;625;-10;1050;-10;865;1074;895;919;5.0;5.0;5.0;
17;18;13;['Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];13;3;620;-10;1053;-10;855;1069;877;901;15.0;10.0;15.0;
18;19;3;['SpongeBob'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];27;10;607;-10;1043;-10;845;1064;872;896;17.0;2.0;17.0;
19;20;10;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];19;2;592;-10;1033;-10;835;1059;881;891;18.0;1.0;18.0;
20;21;4;['Sample1'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];10;25;582;-10;1033;-10;825;1054;872;886;18.0;0.0;18.0;
21;22;25;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];40;15;552;-10;1023;-10;815;1084;867;876;8.0;8.0;8.0;
22;23;15;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];24;5;527;-10;1037;-10;805;1079;862;871;8.0;0.0;8.0;
23;24;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;6;524;-10;1027;-10;795;1074;857;866;11.0;3.0;11.0;
24;25;6;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];16;5;513;-10;1017;-10;785;1069;863;861;12.0;1.0;12.0;
25;26;5;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];32;51;530;-10;1007;-10;775;1064;858;856;19.0;7.0;;
26;27;51;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];75;2;474;-10;997;-10;765;1054;853;921;5.0;5.0;5.0;
27;28;7;['Sample2'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];18;11;464;-10;1005;-10;755;1049;848;909;15.0;10.0;15.0;
28;29;11;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];18;61;448;-10;995;-10;745;1044;856;904;17.0;2.0;;
29;30;61;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];71;31;382;-10;985;-10;735;1034;851;965;0.0;0.0;0.0;
30;31;31;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];51;35;341;-10;975;-10;725;1029;892;960;2.0;2.0;2.0;
31;32;35;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample2'];51;4;301;-10;965;-10;715;1024;887;1001;8.0;6.0;8.0;
32;33;13;['Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];12;10;296;-10;967;-10;705;1019;869;983;10.0;2.0;10.0;
33;34;10;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;2;295;-10;957;-10;695;1014;864;978;11.0;1.0;11.0;
34;35;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];16;6;288;-10;947;-10;699;1009;859;973;20.0;9.0;20.0;
35;36;6;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;2;272;-10;937;-10;705;1004;854;968;25.0;5.0;25.0;
36;37;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];12;13;265;-10;927;-10;705;999;849;963;34.0;9.0;34.0;
37;38;13;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];42;4;284;-10;917;-10;695;989;839;953;5.0;5.0;5.0;
38;39;4;['SpongeBob', 'Sample1', 'Sample2'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];10;7;275;-10;917;-10;685;984;830;944;14.0;9.0;14.0;
39;40;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;1;280;-10;907;-10;675;979;825;939;24.0;10.0;24.0;
40;41;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];18;2;275;-10;897;-10;681;974;820;934;28.0;4.0;28.0;
41;42;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;15;263;-10;900;-10;669;969;815;929;36.0;8.0;36.0;
42;43;15;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];33;3;243;-10;890;-10;659;959;805;952;1.0;1.0;1.0;
43;44;4;['Sample1', 'Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];14;9;247;-10;880;-10;649;954;796;943;9.0;8.0;9.0;
44;45;9;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];15;15;233;-10;870;-10;654;949;791;938;10.0;1.0;10.0;
45;46;15;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];25;9;208;-10;885;-10;644;944;786;928;14.0;4.0;14.0;
46;47;9;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];21;7;194;-10;875;-10;655;939;781;923;16.0;2.0;16.0;
47;48;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];21;30;198;-10;865;-10;645;934;776;918;18.0;2.0;18.0;
48;49;30;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1'];49;7;163;-10;855;-10;635;973;766;913;1.0;1.0;1.0;
49;50;7;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];39;7;151;-10;884;-10;625;968;761;908;4.0;3.0;4.0;
50;51;7;['SpongeBob', 'Sample1'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;15;153;-10;874;-10;615;963;749;903;7.0;3.0;7.0;
51;52;15;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];34;9;162;-10;864;-10;605;958;739;893;11.0;4.0;11.0;
52;53;9;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];16;3;148;-10;854;-10;611;953;734;888;11.0;0.0;11.0;
53;54;7;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];12;27;143;-10;844;-10;613;948;722;883;12.0;1.0;12.0;
54;55;27;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample1'];37;3;143;-10;834;-10;603;943;712;878;17.0;5.0;17.0;
55;56;9;['Sample1'];1;AlwaysLauncher;['AlwaysLauncher'];5;5;138;-10;829;-10;598;938;698;873;22.0;5.0;22.0;
56;57;5;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];10;15;128;-10;819;-10;598;933;693;868;30.0;8.0;30.0;
