;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;3;995;995;995;995;995;995;995;995;3.0;3.0;3.0;
1;2;5;['Sample1'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];14;57;990;985;985;999;985;990;985;990;12.0;9.0;12.0;
2;3;57;['SpongeBob'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];85;8;1008;975;975;989;975;980;975;980;1.0;1.0;1.0;
3;4;114;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];23;5;1003;965;988;865;965;975;970;975;2.0;1.0;2.0;
4;5;228;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];22;2;1015;955;978;627;955;970;965;970;10.0;8.0;10.0;
5;6;456;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];38;9;1010;945;1006;161;945;965;960;965;20.0;10.0;20.0;
6;7;410;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample2'];20;3;1020;525;996;156;935;960;955;955;27.0;7.0;27.0;
7;8;369;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;3;1015;146;1010;146;925;955;950;950;35.0;8.0;35.0;
8;9;146;['PassiveLauncher', 'AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];23;7;1028;-10;1000;-10;915;950;945;945;41.0;6.0;41.0;
9;10;7;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];44;8;1016;-10;990;-10;905;984;940;940;5.0;5.0;5.0;
