;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;19;995;995;995;995;995;995;995;995;2.0;2.0;2.0;
1;2;19;['SpongeBob'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];28;5;971;985;985;985;1013;990;990;990;6.0;4.0;6.0;
2;3;38;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher'];17;0;966;975;992;937;1008;985;985;985;10.0;4.0;10.0;
3;4;76;['AggressiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];14;2;956;979;982;851;998;980;980;980;14.0;4.0;14.0;
4;5;152;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];13;1;951;969;972;702;988;975;975;975;20.0;6.0;20.0;
5;6;304;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;2;946;959;962;412;978;970;970;970;23.0;3.0;23.0;
6;7;412;['AggressiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];67;2;1003;949;952;-10;968;965;965;965;24.0;1.0;24.0;
7;8;371;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];21;2;998;568;942;-10;979;960;960;960;26.0;2.0;26.0;
8;9;334;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher'];21;14;1009;224;932;-10;974;955;955;955;33.0;7.0;33.0;
9;10;224;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];22;9;1004;-10;944;-10;964;950;950;950;38.0;5.0;38.0;
10;11;9;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];29;53;990;-10;934;-10;954;945;945;945;40.0;2.0;40.0;
11;12;53;['SpongeBob'];1;Sample2;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Sample1', 'Sample2'];117;3;927;-10;924;-10;949;935;935;1052;5.0;5.0;5.0;
12;13;4;['Sample1', 'Sample2'];1;Mission failure;['AlwaysLauncher', 'Evie'];82;94;922;-10;914;-10;939;930;926;1043;14.0;9.0;;
13;14;94;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];107;4;823;-10;904;-10;929;1027;916;1033;9.0;9.0;9.0;
14;15;8;['Sample1', 'Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];25;9;838;-10;894;-10;919;1022;903;1020;13.0;4.0;13.0;
15;16;9;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];48;9;824;-10;884;-10;909;1017;941;1010;13.0;0.0;13.0;
16;17;9;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];24;11;810;-10;874;-10;923;1012;936;1005;20.0;7.0;20.0;
17;18;11;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];31;1;789;-10;864;-10;944;1002;931;1000;2.0;2.0;2.0;
18;19;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];20;2;784;-10;874;-10;932;997;926;995;10.0;8.0;10.0;
19;20;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];27;2;777;-10;864;-10;947;992;921;990;19.0;9.0;19.0;
20;21;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];45;18;770;-10;854;-10;980;987;916;985;27.0;8.0;27.0;
21;22;18;['SpongeBob'];1;Sample1;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];47;4;742;-10;844;-10;970;977;953;975;9.0;9.0;9.0;
