;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;10;995;995;995;995;995;995;995;995;6.0;6.0;6.0;
1;2;10;['SpongeBob'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];24;4;980;985;985;985;1009;990;990;990;13.0;7.0;13.0;
2;3;20;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];29;1;970;975;975;984;999;985;985;985;22.0;9.0;22.0;
3;4;40;['AggressiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];11;9;965;965;976;934;989;980;980;980;24.0;2.0;24.0;
4;5;80;['AggressiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];18;4;960;955;966;844;979;975;975;975;29.0;5.0;29.0;
5;6;160;['AggressiveLauncher'];1;Evie;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];17;27;950;945;956;679;986;970;970;970;38.0;9.0;38.0;
6;7;320;['AggressiveLauncher'];1;Manu;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu'];42;6;945;935;946;349;976;1002;965;965;5.0;5.0;5.0;
7;8;349;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];20;14;940;925;936;10;966;997;960;960;13.0;8.0;13.0;
8;9;314;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher', 'Evie'];26;6;935;601;952;5;956;992;955;955;14.0;1.0;14.0;
9;10;283;['PassiveLauncher'];1;PassiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;2;930;327;942;-5;946;987;950;950;22.0;8.0;22.0;
10;11;255;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];12;17;932;62;932;-5;936;982;945;945;31.0;9.0;31.0;
11;12;62;['PassiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];36;9;927;-10;922;-5;926;977;935;935;31.0;0.0;31.0;
12;13;9;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];22;36;913;-10;912;-5;916;989;930;930;2.0;2.0;2.0;
13;14;36;['SpongeBob'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];54;9;867;-10;902;-5;906;984;925;920;2.0;0.0;2.0;
14;15;10;['Sample2'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample1'];18;7;862;-10;892;-5;914;979;915;905;8.0;6.0;8.0;
15;16;7;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];62;5;907;-10;882;-5;904;974;910;900;18.0;10.0;18.0;
16;17;7;['Sample1'];1;Mission failure;['AlwaysLauncher', 'Evie'];14;31;902;-10;872;-5;894;969;898;895;24.0;6.0;24.0;
17;18;31;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];51;41;861;-10;862;-5;935;959;888;885;0.0;0.0;0.0;
18;19;41;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];47;13;815;-10;899;-5;925;954;878;875;3.0;3.0;3.0;
19;20;13;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;10;814;-10;889;-5;915;949;873;870;4.0;1.0;4.0;
20;21;15;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie', 'Sample2'];22;10;809;-10;879;-5;927;944;853;860;10.0;6.0;10.0;
21;22;10;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];19;14;808;-10;869;-5;917;939;848;855;20.0;10.0;20.0;
22;23;14;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Manu'];24;8;789;-10;883;-5;907;929;843;850;8.0;8.0;8.0;
23;24;8;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];45;13;816;-10;873;-5;897;924;838;845;13.0;5.0;13.0;
24;25;13;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];36;1;798;-10;863;-5;887;919;828;871;18.0;5.0;18.0;
25;26;4;['Sample1', 'Sample2'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher'];13;3;788;-10;866;-5;882;914;819;862;18.0;0.0;18.0;
26;27;3;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];21;0;780;-10;877;-5;872;909;814;857;28.0;10.0;28.0;
27;28;2;['Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher'];51;13;821;-10;867;-5;865;904;809;852;28.0;0.0;28.0;
28;29;13;['SpongeBob'];1;Sample2;['AlwaysLauncher', 'Evie', 'Manu', 'Sample2'];32;3;803;-10;857;-5;855;894;804;874;3.0;3.0;3.0;
29;30;4;['Sample2'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];10;45;803;-10;847;-5;845;889;799;865;7.0;4.0;7.0;
30;31;45;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie', 'Sample1', 'Sample2'];63;30;753;-10;900;-5;835;884;789;855;16.0;9.0;;
31;32;30;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];42;8;755;-10;890;-5;825;874;784;850;7.0;7.0;12.0;5.0
32;33;10;['Manu', 'Sample1'];1;Sample1;['AlwaysLauncher', 'Evie', 'Sample1'];22;5;750;-10;880;-5;815;859;786;845;17.0;5.0;17.0;
33;34;11;['Sample1'];1;Mission failure;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;10;740;-10;870;-5;805;854;770;840;26.0;9.0;26.0;
34;35;10;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu'];21;15;725;-10;860;-5;795;865;765;835;2.0;2.0;2.0;
35;36;15;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];26;11;726;-10;850;-5;785;860;760;825;6.0;4.0;6.0;
36;37;11;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];19;4;710;-10;840;-5;794;855;755;820;6.0;0.0;6.0;
37;38;4;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];39;9;735;-10;830;-5;784;850;750;815;10.0;4.0;10.0;
38;39;9;['SpongeBob'];1;Sample1;['AlwaysLauncher', 'Sample1'];22;23;721;-10;820;-5;779;845;762;810;13.0;3.0;13.0;
39;40;23;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Sample2'];42;7;688;-10;852;-5;769;840;757;800;23.0;10.0;23.0;
