;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Evie;Manu;Sample1;Sample2;tech;tech_gain_passive;tech_at_join;tech_gain_bid
0;1;0;[];1;;;;23;995;995;995;995;995;995;995;995;8.0;8.0;8.0;
1;2;23;['SpongeBob'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1'];32;1;967;985;985;985;1017;990;985;990;17.0;9.0;17.0;
2;3;46;['AggressiveLauncher'];1;AggressiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];10;3;957;975;975;939;1007;985;980;985;21.0;4.0;21.0;
3;4;92;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];16;5;952;965;965;853;997;980;975;980;27.0;6.0;27.0;
4;5;184;['AggressiveLauncher'];1;Evie;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];21;5;942;955;955;659;1008;975;970;975;31.0;4.0;31.0;
5;6;368;['AggressiveLauncher'];1;AggressiveLauncher;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];19;5;937;945;945;300;998;970;965;970;33.0;2.0;33.0;
6;7;331;['PassiveLauncher'];1;Evie;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie'];29;21;932;604;935;290;1017;965;960;965;35.0;2.0;35.0;
7;8;298;['PassiveLauncher'];1;SpongeBob;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Manu', 'Sample2'];63;14;985;296;925;280;1007;955;955;955;2.0;2.0;2.0;
8;9;280;['AggressiveLauncher'];1;Mission failure;['PassiveLauncher', 'AlwaysLauncher', 'AggressiveLauncher', 'Evie', 'Sample1'];70;1;980;286;915;-10;997;950;945;950;9.0;7.0;9.0;
9;10;252;['PassiveLauncher'];1;PassiveLauncher;['SpongeBob', 'PassiveLauncher', 'AlwaysLauncher', 'Evie'];39;2;970;63;905;-10;987;945;940;945;14.0;5.0;14.0;
10;11;63;['PassiveLauncher'];1;AlwaysLauncher;['PassiveLauncher', 'AlwaysLauncher'];18;1;965;-10;913;-10;982;940;935;940;19.0;5.0;19.0;
11;12;2;['Evie'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];8;47;963;-10;903;-10;970;935;930;935;25.0;6.0;;
12;13;47;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Evie', 'Manu', 'Sample1', 'Sample2'];68;14;911;-10;893;-10;960;993;920;925;10.0;10.0;10.0;
13;14;14;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Manu'];31;4;918;-10;883;-10;955;983;915;920;7.0;7.0;7.0;
14;15;10;['Sample1'];1;Evie;['AlwaysLauncher', 'Evie'];23;5;913;-10;873;-10;968;978;900;915;7.0;0.0;7.0;
15;16;5;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];23;3;903;-10;863;-10;981;973;895;910;9.0;2.0;9.0;
16;17;3;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];11;2;901;-10;853;-10;971;968;890;905;10.0;1.0;10.0;
17;18;2;['SpongeBob', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher'];8;7;894;-10;851;-10;964;963;885;900;13.0;3.0;13.0;
18;19;7;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];20;1;877;-10;841;-10;974;958;880;895;23.0;10.0;23.0;
19;20;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];27;40;872;-10;831;-10;989;953;875;890;29.0;6.0;29.0;
20;21;40;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Sample1', 'Sample2'];80;10;822;-10;821;-10;984;1023;865;880;5.0;5.0;5.0;
21;22;10;['SpongeBob'];1;Mission failure;['AlwaysLauncher', 'Evie'];19;35;807;-10;811;-10;974;1018;860;875;15.0;10.0;15.0;
22;23;35;['SpongeBob'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie', 'Manu'];51;4;762;-10;801;-10;1015;1008;855;870;8.0;8.0;8.0;
